,HourEnding,RT_Demand
0,2020/1/1 1:00,"1,133.89"
1,2020/1/1 2:00,"1,095.54"
2,2020/1/1 3:00,"1,077.87"
3,2020/1/1 4:00,"1,066.16"
4,2020/1/1 5:00,"1,079.42"
5,2020/1/1 6:00,"1,117.17"
6,2020/1/1 7:00,"1,179.42"
7,2020/1/1 8:00,"1,240.54"
8,2020/1/1 9:00,"1,303.78"
9,2020/1/1 10:00,"1,346.31"
10,2020/1/1 11:00,"1,364.90"
11,2020/1/1 12:00,"1,350.47"
12,2020/1/1 13:00,"1,361.85"
13,2020/1/1 14:00,"1,370.96"
14,2020/1/1 15:00,"1,373.46"
15,2020/1/1 16:00,"1,397.34"
16,2020/1/1 17:00,"1,500.84"
17,2020/1/1 18:00,"1,575.25"
18,2020/1/1 19:00,"1,548.58"
19,2020/1/1 20:00,"1,482.25"
20,2020/1/1 21:00,"1,404.66"
21,2020/1/1 22:00,"1,316.79"
22,2020/1/1 23:00,"1,228.18"
23,2020/1/2 0:00,"1,158.33"
24,2020/1/2 1:00,"1,117.23"
25,2020/1/2 2:00,"1,089.67"
26,2020/1/2 3:00,"1,084.58"
27,2020/1/2 4:00,"1,088.41"
28,2020/1/2 5:00,"1,138.86"
29,2020/1/2 6:00,"1,240.83"
30,2020/1/2 7:00,"1,401.33"
31,2020/1/2 8:00,"1,476.24"
32,2020/1/2 9:00,"1,493.90"
33,2020/1/2 10:00,"1,503.66"
34,2020/1/2 11:00,"1,519.74"
35,2020/1/2 12:00,"1,487.11"
36,2020/1/2 13:00,"1,482.87"
37,2020/1/2 14:00,"1,473.66"
38,2020/1/2 15:00,"1,448.03"
39,2020/1/2 16:00,"1,444.99"
40,2020/1/2 17:00,"1,526.28"
41,2020/1/2 18:00,"1,601.93"
42,2020/1/2 19:00,"1,588.88"
43,2020/1/2 20:00,"1,528.08"
44,2020/1/2 21:00,"1,454.68"
45,2020/1/2 22:00,"1,353.52"
46,2020/1/2 23:00,"1,252.88"
47,2020/1/3 0:00,"1,162.97"
48,2020/1/3 1:00,"1,101.51"
49,2020/1/3 2:00,"1,074.63"
50,2020/1/3 3:00,"1,065.78"
51,2020/1/3 4:00,"1,068.17"
52,2020/1/3 5:00,"1,105.16"
53,2020/1/3 6:00,"1,200.11"
54,2020/1/3 7:00,"1,344.81"
55,2020/1/3 8:00,"1,416.38"
56,2020/1/3 9:00,"1,438.91"
57,2020/1/3 10:00,"1,450.68"
58,2020/1/3 11:00,"1,452.49"
59,2020/1/3 12:00,"1,448.19"
60,2020/1/3 13:00,"1,439.17"
61,2020/1/3 14:00,"1,426.46"
62,2020/1/3 15:00,"1,410.43"
63,2020/1/3 16:00,"1,410.38"
64,2020/1/3 17:00,"1,474.13"
65,2020/1/3 18:00,"1,518.60"
66,2020/1/3 19:00,"1,498.87"
67,2020/1/3 20:00,"1,437.68"
68,2020/1/3 21:00,"1,375.42"
69,2020/1/3 22:00,"1,297.59"
70,2020/1/3 23:00,"1,222.83"
71,2020/1/4 0:00,"1,143.96"
72,2020/1/4 1:00,"1,083.42"
73,2020/1/4 2:00,"1,048.63"
74,2020/1/4 3:00,"1,035.86"
75,2020/1/4 4:00,"1,037.95"
76,2020/1/4 5:00,"1,054.05"
77,2020/1/4 6:00,"1,094.13"
78,2020/1/4 7:00,"1,155.32"
79,2020/1/4 8:00,"1,238.53"
80,2020/1/4 9:00,"1,322.85"
81,2020/1/4 10:00,"1,384.98"
82,2020/1/4 11:00,"1,418.45"
83,2020/1/4 12:00,"1,421.96"
84,2020/1/4 13:00,"1,408.74"
85,2020/1/4 14:00,"1,410.27"
86,2020/1/4 15:00,"1,398.75"
87,2020/1/4 16:00,"1,435.76"
88,2020/1/4 17:00,"1,509.12"
89,2020/1/4 18:00,"1,530.88"
90,2020/1/4 19:00,"1,487.67"
91,2020/1/4 20:00,"1,414.74"
92,2020/1/4 21:00,"1,354.75"
93,2020/1/4 22:00,"1,273.88"
94,2020/1/4 23:00,"1,219.21"
95,2020/1/5 0:00,"1,145.63"
96,2020/1/5 1:00,"1,084.90"
97,2020/1/5 2:00,"1,047.10"
98,2020/1/5 3:00,"1,035.93"
99,2020/1/5 4:00,"1,029.60"
100,2020/1/5 5:00,"1,052.38"
101,2020/1/5 6:00,"1,079.08"
102,2020/1/5 7:00,"1,143.83"
103,2020/1/5 8:00,"1,228.29"
104,2020/1/5 9:00,"1,322.61"
105,2020/1/5 10:00,"1,382.32"
106,2020/1/5 11:00,"1,412.95"
107,2020/1/5 12:00,"1,419.73"
108,2020/1/5 13:00,"1,429.22"
109,2020/1/5 14:00,"1,418.68"
110,2020/1/5 15:00,"1,421.31"
111,2020/1/5 16:00,"1,447.76"
112,2020/1/5 17:00,"1,541.15"
113,2020/1/5 18:00,"1,628.07"
114,2020/1/5 19:00,"1,592.08"
115,2020/1/5 20:00,"1,529.11"
116,2020/1/5 21:00,"1,456.45"
117,2020/1/5 22:00,"1,354.59"
118,2020/1/5 23:00,"1,264.88"
119,2020/1/6 0:00,"1,204.01"
120,2020/1/6 1:00,"1,157.54"
121,2020/1/6 2:00,"1,138.66"
122,2020/1/6 3:00,"1,138.22"
123,2020/1/6 4:00,"1,157.70"
124,2020/1/6 5:00,"1,212.28"
125,2020/1/6 6:00,"1,329.23"
126,2020/1/6 7:00,"1,500.11"
127,2020/1/6 8:00,"1,582.94"
128,2020/1/6 9:00,"1,589.92"
129,2020/1/6 10:00,"1,599.57"
130,2020/1/6 11:00,"1,599.43"
131,2020/1/6 12:00,"1,577.87"
132,2020/1/6 13:00,"1,569.22"
133,2020/1/6 14:00,"1,572.52"
134,2020/1/6 15:00,"1,566.03"
135,2020/1/6 16:00,"1,573.17"
136,2020/1/6 17:00,"1,644.06"
137,2020/1/6 18:00,"1,708.35"
138,2020/1/6 19:00,"1,677.43"
139,2020/1/6 20:00,"1,614.40"
140,2020/1/6 21:00,"1,531.44"
141,2020/1/6 22:00,"1,427.05"
142,2020/1/6 23:00,"1,328.28"
143,2020/1/7 0:00,"1,259.46"
144,2020/1/7 1:00,"1,208.81"
145,2020/1/7 2:00,"1,181.75"
146,2020/1/7 3:00,"1,173.18"
147,2020/1/7 4:00,"1,183.09"
148,2020/1/7 5:00,"1,232.12"
149,2020/1/7 6:00,"1,331.82"
150,2020/1/7 7:00,"1,503.22"
151,2020/1/7 8:00,"1,569.98"
152,2020/1/7 9:00,"1,576.03"
153,2020/1/7 10:00,"1,548.84"
154,2020/1/7 11:00,"1,519.34"
155,2020/1/7 12:00,"1,504.57"
156,2020/1/7 13:00,"1,476.32"
157,2020/1/7 14:00,"1,488.17"
158,2020/1/7 15:00,"1,479.60"
159,2020/1/7 16:00,"1,500.70"
160,2020/1/7 17:00,"1,587.06"
161,2020/1/7 18:00,"1,651.13"
162,2020/1/7 19:00,"1,631.50"
163,2020/1/7 20:00,"1,573.06"
164,2020/1/7 21:00,"1,481.27"
165,2020/1/7 22:00,"1,379.47"
166,2020/1/7 23:00,"1,280.98"
167,2020/1/8 0:00,"1,199.21"
168,2020/1/8 1:00,"1,142.64"
169,2020/1/8 2:00,"1,115.84"
170,2020/1/8 3:00,"1,105.49"
171,2020/1/8 4:00,"1,106.05"
172,2020/1/8 5:00,"1,147.19"
173,2020/1/8 6:00,"1,255.76"
174,2020/1/8 7:00,"1,426.87"
175,2020/1/8 8:00,"1,499.66"
176,2020/1/8 9:00,"1,511.69"
177,2020/1/8 10:00,"1,505.93"
178,2020/1/8 11:00,"1,512.72"
179,2020/1/8 12:00,"1,497.30"
180,2020/1/8 13:00,"1,488.79"
181,2020/1/8 14:00,"1,483.93"
182,2020/1/8 15:00,"1,476.77"
183,2020/1/8 16:00,"1,475.41"
184,2020/1/8 17:00,"1,555.29"
185,2020/1/8 18:00,"1,643.21"
186,2020/1/8 19:00,"1,612.14"
187,2020/1/8 20:00,"1,566.14"
188,2020/1/8 21:00,"1,495.62"
189,2020/1/8 22:00,"1,386.78"
190,2020/1/8 23:00,"1,292.25"
191,2020/1/9 0:00,"1,228.74"
192,2020/1/9 1:00,"1,181.07"
193,2020/1/9 2:00,"1,178.21"
194,2020/1/9 3:00,"1,177.23"
195,2020/1/9 4:00,"1,180.03"
196,2020/1/9 5:00,"1,236.46"
197,2020/1/9 6:00,"1,360.42"
198,2020/1/9 7:00,"1,530.85"
199,2020/1/9 8:00,"1,582.90"
200,2020/1/9 9:00,"1,591.91"
201,2020/1/9 10:00,"1,572.38"
202,2020/1/9 11:00,"1,562.92"
203,2020/1/9 12:00,"1,528.31"
204,2020/1/9 13:00,"1,497.59"
205,2020/1/9 14:00,"1,499.02"
206,2020/1/9 15:00,"1,503.73"
207,2020/1/9 16:00,"1,526.82"
208,2020/1/9 17:00,"1,599.60"
209,2020/1/9 18:00,"1,664.52"
210,2020/1/9 19:00,"1,654.98"
211,2020/1/9 20:00,"1,604.36"
212,2020/1/9 21:00,"1,545.94"
213,2020/1/9 22:00,"1,448.69"
214,2020/1/9 23:00,"1,360.85"
215,2020/1/10 0:00,"1,288.81"
216,2020/1/10 1:00,"1,242.65"
217,2020/1/10 2:00,"1,219.65"
218,2020/1/10 3:00,"1,208.75"
219,2020/1/10 4:00,"1,202.22"
220,2020/1/10 5:00,"1,241.80"
221,2020/1/10 6:00,"1,344.68"
222,2020/1/10 7:00,"1,489.70"
223,2020/1/10 8:00,"1,556.28"
224,2020/1/10 9:00,"1,572.35"
225,2020/1/10 10:00,"1,565.46"
226,2020/1/10 11:00,"1,574.65"
227,2020/1/10 12:00,"1,550.88"
228,2020/1/10 13:00,"1,540.34"
229,2020/1/10 14:00,"1,535.64"
230,2020/1/10 15:00,"1,506.88"
231,2020/1/10 16:00,"1,488.88"
232,2020/1/10 17:00,"1,532.55"
233,2020/1/10 18:00,"1,571.30"
234,2020/1/10 19:00,"1,519.47"
235,2020/1/10 20:00,"1,466.24"
236,2020/1/10 21:00,"1,401.29"
237,2020/1/10 22:00,"1,320.01"
238,2020/1/10 23:00,"1,233.61"
239,2020/1/11 0:00,"1,156.72"
240,2020/1/11 1:00,"1,100.74"
241,2020/1/11 2:00,"1,066.99"
242,2020/1/11 3:00,"1,043.09"
243,2020/1/11 4:00,"1,039.49"
244,2020/1/11 5:00,"1,051.46"
245,2020/1/11 6:00,"1,097.37"
246,2020/1/11 7:00,"1,174.67"
247,2020/1/11 8:00,"1,256.46"
248,2020/1/11 9:00,"1,336.69"
249,2020/1/11 10:00,"1,390.29"
250,2020/1/11 11:00,"1,400.42"
251,2020/1/11 12:00,"1,363.13"
252,2020/1/11 13:00,"1,334.71"
253,2020/1/11 14:00,"1,315.26"
254,2020/1/11 15:00,"1,306.26"
255,2020/1/11 16:00,"1,318.22"
256,2020/1/11 17:00,"1,383.73"
257,2020/1/11 18:00,"1,437.24"
258,2020/1/11 19:00,"1,396.81"
259,2020/1/11 20:00,"1,328.46"
260,2020/1/11 21:00,"1,268.41"
261,2020/1/11 22:00,"1,185.45"
262,2020/1/11 23:00,"1,119.08"
263,2020/1/12 0:00,"1,050.12"
264,2020/1/12 1:00,998.45
265,2020/1/12 2:00,970.26
266,2020/1/12 3:00,954.62
267,2020/1/12 4:00,956.20
268,2020/1/12 5:00,969.99
269,2020/1/12 6:00,"1,006.66"
270,2020/1/12 7:00,"1,075.79"
271,2020/1/12 8:00,"1,171.48"
272,2020/1/12 9:00,"1,288.87"
273,2020/1/12 10:00,"1,362.96"
274,2020/1/12 11:00,"1,410.72"
275,2020/1/12 12:00,"1,435.14"
276,2020/1/12 13:00,"1,450.27"
277,2020/1/12 14:00,"1,421.98"
278,2020/1/12 15:00,"1,415.92"
279,2020/1/12 16:00,"1,425.89"
280,2020/1/12 17:00,"1,495.60"
281,2020/1/12 18:00,"1,573.95"
282,2020/1/12 19:00,"1,534.56"
283,2020/1/12 20:00,"1,467.61"
284,2020/1/12 21:00,"1,387.18"
285,2020/1/12 22:00,"1,298.37"
286,2020/1/12 23:00,"1,215.66"
287,2020/1/13 0:00,"1,149.30"
288,2020/1/13 1:00,"1,115.62"
289,2020/1/13 2:00,"1,103.47"
290,2020/1/13 3:00,"1,103.99"
291,2020/1/13 4:00,"1,119.99"
292,2020/1/13 5:00,"1,175.54"
293,2020/1/13 6:00,"1,291.06"
294,2020/1/13 7:00,"1,465.62"
295,2020/1/13 8:00,"1,551.79"
296,2020/1/13 9:00,"1,570.88"
297,2020/1/13 10:00,"1,579.24"
298,2020/1/13 11:00,"1,580.03"
299,2020/1/13 12:00,"1,583.27"
300,2020/1/13 13:00,"1,586.44"
301,2020/1/13 14:00,"1,583.47"
302,2020/1/13 15:00,"1,582.63"
303,2020/1/13 16:00,"1,571.46"
304,2020/1/13 17:00,"1,632.15"
305,2020/1/13 18:00,"1,681.81"
306,2020/1/13 19:00,"1,649.14"
307,2020/1/13 20:00,"1,581.40"
308,2020/1/13 21:00,"1,520.68"
309,2020/1/13 22:00,"1,412.49"
310,2020/1/13 23:00,"1,307.42"
311,2020/1/14 0:00,"1,232.26"
312,2020/1/14 1:00,"1,172.49"
313,2020/1/14 2:00,"1,148.79"
314,2020/1/14 3:00,"1,139.97"
315,2020/1/14 4:00,"1,142.23"
316,2020/1/14 5:00,"1,187.07"
317,2020/1/14 6:00,"1,296.60"
318,2020/1/14 7:00,"1,455.28"
319,2020/1/14 8:00,"1,523.74"
320,2020/1/14 9:00,"1,534.99"
321,2020/1/14 10:00,"1,530.82"
322,2020/1/14 11:00,"1,529.55"
323,2020/1/14 12:00,"1,516.97"
324,2020/1/14 13:00,"1,508.32"
325,2020/1/14 14:00,"1,510.33"
326,2020/1/14 15:00,"1,507.36"
327,2020/1/14 16:00,"1,521.39"
328,2020/1/14 17:00,"1,587.21"
329,2020/1/14 18:00,"1,637.66"
330,2020/1/14 19:00,"1,611.97"
331,2020/1/14 20:00,"1,554.07"
332,2020/1/14 21:00,"1,475.47"
333,2020/1/14 22:00,"1,374.64"
