,HourEnding,RT_Demand
0,2020/1/1 1:00,"1,080.18"
1,2020/1/1 2:00,"1,034.73"
2,2020/1/1 3:00,"1,005.34"
3,2020/1/1 4:00,"1,000.61"
4,2020/1/1 5:00,"1,011.07"
5,2020/1/1 6:00,"1,042.09"
6,2020/1/1 7:00,"1,090.27"
7,2020/1/1 8:00,"1,139.19"
8,2020/1/1 9:00,"1,203.33"
9,2020/1/1 10:00,"1,267.09"
10,2020/1/1 11:00,"1,308.22"
11,2020/1/1 12:00,"1,331.34"
12,2020/1/1 13:00,"1,338.32"
13,2020/1/1 14:00,"1,331.02"
14,2020/1/1 15:00,"1,324.32"
15,2020/1/1 16:00,"1,347.74"
16,2020/1/1 17:00,"1,459.06"
17,2020/1/1 18:00,"1,560.05"
18,2020/1/1 19:00,"1,531.83"
19,2020/1/1 20:00,"1,481.87"
20,2020/1/1 21:00,"1,408.93"
21,2020/1/1 22:00,"1,307.77"
22,2020/1/1 23:00,"1,197.83"
23,2020/1/2 0:00,"1,112.27"
24,2020/1/2 1:00,"1,059.88"
25,2020/1/2 2:00,"1,032.36"
26,2020/1/2 3:00,"1,023.11"
27,2020/1/2 4:00,"1,030.63"
28,2020/1/2 5:00,"1,078.75"
29,2020/1/2 6:00,"1,188.47"
30,2020/1/2 7:00,"1,357.77"
31,2020/1/2 8:00,"1,447.71"
32,2020/1/2 9:00,"1,465.09"
33,2020/1/2 10:00,"1,477.28"
34,2020/1/2 11:00,"1,477.67"
35,2020/1/2 12:00,"1,456.17"
36,2020/1/2 13:00,"1,419.93"
37,2020/1/2 14:00,"1,411.66"
38,2020/1/2 15:00,"1,395.02"
39,2020/1/2 16:00,"1,412.95"
40,2020/1/2 17:00,"1,512.67"
41,2020/1/2 18:00,"1,608.10"
42,2020/1/2 19:00,"1,595.05"
43,2020/1/2 20:00,"1,544.42"
44,2020/1/2 21:00,"1,468.79"
45,2020/1/2 22:00,"1,358.57"
46,2020/1/2 23:00,"1,229.05"
47,2020/1/3 0:00,"1,127.62"
48,2020/1/3 1:00,"1,061.39"
49,2020/1/3 2:00,"1,027.13"
50,2020/1/3 3:00,"1,011.71"
51,2020/1/3 4:00,"1,016.22"
52,2020/1/3 5:00,"1,052.50"
53,2020/1/3 6:00,"1,153.29"
54,2020/1/3 7:00,"1,310.93"
55,2020/1/3 8:00,"1,404.29"
56,2020/1/3 9:00,"1,430.47"
57,2020/1/3 10:00,"1,446.74"
58,2020/1/3 11:00,"1,460.90"
59,2020/1/3 12:00,"1,456.08"
60,2020/1/3 13:00,"1,434.01"
61,2020/1/3 14:00,"1,425.51"
62,2020/1/3 15:00,"1,406.26"
63,2020/1/3 16:00,"1,409.95"
64,2020/1/3 17:00,"1,486.08"
65,2020/1/3 18:00,"1,542.24"
66,2020/1/3 19:00,"1,517.49"
67,2020/1/3 20:00,"1,466.20"
68,2020/1/3 21:00,"1,401.38"
69,2020/1/3 22:00,"1,315.73"
70,2020/1/3 23:00,"1,209.53"
71,2020/1/4 0:00,"1,108.02"
72,2020/1/4 1:00,"1,036.63"
73,2020/1/4 2:00,995.90
74,2020/1/4 3:00,975.07
75,2020/1/4 4:00,968.26
76,2020/1/4 5:00,982.38
77,2020/1/4 6:00,"1,025.04"
78,2020/1/4 7:00,"1,097.96"
